symbol,datetime,high,low,open,close
R_100,2022.02.04 12:01:00,8002.16,7987.31,7990.62,7995.49
R_100,2022.02.04 12:02:00,8015.94,7994.4,7994.4,8014.39
R_100,2022.02.04 12:03:00,8014.66,7996.17,8014.66,8007
R_100,2022.02.04 12:04:00,8027.19,8005.32,8007.29,8022.31
R_100,2022.02.04 12:05:00,8023.73,7999.5,8022.91,7999.5
R_100,2022.02.04 12:06:00,8002.07,7991.06,8000.5,8000.19
R_100,2022.02.04 12:07:00,8002.88,7993.16,8000.49,7999.31
R_100,2022.02.04 12:08:00,8003.29,7992.08,7995.5,8002.59
R_100,2022.02.04 12:09:00,8008.88,7991.27,8004.34,7991.27
R_100,2022.02.04 12:10:00,8001.08,7985.17,7993.83,7992.73
R_100,2022.02.04 12:11:00,7993.73,7974.67,7991.17,7984.09
R_100,2022.02.04 12:12:00,7981.09,7970.48,7981.09,7978.41
R_100,2022.02.04 12:13:00,7982.75,7966.1,7978.66,7968
R_100,2022.02.04 12:14:00,7976.72,7963.67,7969.61,7968.51
R_100,2022.02.04 12:15:00,7980.12,7967.93,7972.15,7977.87
R_100,2022.02.04 12:16:00,7988.78,7978.75,7979.54,7978.75
R_100,2022.02.04 12:17:00,7988.48,7975.33,7979.32,7977.89
R_100,2022.02.04 12:18:00,7981.47,7967.23,7978.29,7980.06
R_100,2022.02.04 12:19:00,7981.95,7959.94,7979.34,7966.6
R_100,2022.02.04 12:20:00,7964.82,7949.58,7964.37,7958.18
R_100,2022.02.04 12:21:00,7967.47,7954.22,7957.99,7965.47
R_100,2022.02.04 12:22:00,7976.54,7963.2,7963.2,7963.59
R_100,2022.02.04 12:23:00,7977.37,7960.93,7965.92,7972.71
R_100,2022.02.04 12:24:00,7979.03,7970.62,7974.45,7974.36
R_100,2022.02.04 12:25:00,7976.86,7952.85,7973.69,7957.48
R_100,2022.02.04 12:26:00,7959.42,7953.17,7956.9,7959.42
R_100,2022.02.04 12:27:00,7969.39,7958.21,7958.21,7964.23
R_100,2022.02.04 12:28:00,7970.57,7955.59,7968.53,7959.85
R_100,2022.02.04 12:29:00,7971.29,7958.23,7958.23,7970.71
R_100,2022.02.04 12:30:00,7970.27,7957.2,7970.27,7961.39
R_100,2022.02.04 12:31:00,7962.62,7948.97,7962.62,7948.97
R_100,2022.02.04 12:32:00,7957.77,7946.23,7952.31,7947.19
R_100,2022.02.04 12:33:00,7954.03,7943.3,7947.7,7950.14
R_100,2022.02.04 12:34:00,7950.98,7941.42,7949.13,7941.42
R_100,2022.02.04 12:35:00,7964.69,7936.96,7940.15,7964.61
R_100,2022.02.04 12:36:00,7964.04,7953.2,7960.74,7953.2
